operacao,arvore,arquivo,comparacoes,tempo,nao_encontrado,errado,correto,altura,total_usuarios
I,AVL,data/100mil_desordenado.csv,820093,0.082000,0,0,0,20,100000
C,AVL,data/100u_base100mil_50e.csv,3104,0.000000,0,50,50,0,100
I,ABP,data/100mil_desordenado.csv,5211127,0.079000,0,0,0,39,100000
C,ABP,data/1000u_base100mil_100e.csv,41008,0.001000,0,100,900,0,1000
I,AVL,data/100mil_desordenado.csv,820093,0.075000,0,0,0,20,100000
C,AVL,data/1000u_base100mil_100e.csv,30842,0.001000,0,100,900,0,1000
I,ABP,data/100mil_desordenado.csv,5211127,0.082000,0,0,0,39,100000
C,ABP,data/1000u_base100mil_500e.csv,41008,0.013000,0,500,500,0,1000
I,AVL,data/100mil_desordenado.csv,820093,0.103000,0,0,0,20,100000
C,AVL,data/1000u_base100mil_500e.csv,30842,0.001000,0,500,500,0,1000
I,ABP,data/10milusuariosdesordenados.csv,435388,0.006000,0,0,0,33,10000
C,ABP,data/teste1000usuarios500naoencontrados.csv,30356,0.000000,500,0,500,0,1000
I,AVL,data/10milusuariosdesordenados.csv,82363,0.006000,0,0,0,16,10000
C,AVL,data/teste1000usuarios500naoencontrados.csv,26078,0.000000,500,0,500,0,1000
